# x	V
-10.0000000000 465.7198577920
-9.8000000000 448.6453170492
-9.6000000000 431.8597551887
-9.4000000000 415.3649355707
-9.2000000000 399.1626215557
-9.0000000000 383.2545765039
-8.8000000000 367.6425637756
-8.6000000000 352.3283467312
-8.4000000000 337.3136887309
-8.2000000000 322.6003531351
-8.0000000000 308.1901033041
-7.8000000000 294.0847025982
-7.6000000000 280.2859143777
-7.4000000000 266.7955020029
-7.2000000000 253.6152288341
-7.0000000000 240.7468582317
-6.8000000000 228.1921535560
-6.6000000000 215.9528781673
-6.4000000000 204.0307954258
-6.2000000000 192.4276686920
-6.0000000000 181.1452613261
-5.8000000000 170.1853366884
-5.6000000000 159.5496581393
-5.4000000000 149.2399890390
-5.2000000000 139.2580927479
-5.0000000000 129.6057326264
-4.8000000000 120.2846720346
-4.6000000000 111.2966743330
-4.4000000000 102.6435028817
-4.2000000000 94.3269210413
-4.0000000000 86.3486921719
-3.8000000000 78.7105796339
-3.6000000000 71.4143467875
-3.4000000000 64.4617569932
-3.2000000000 57.8545736112
-3.0000000000 51.5945600019
-2.8000000000 45.6834795254
-2.6000000000 40.1230955423
-2.4000000000 34.9151714127
-2.2000000000 30.0614704970
-2.0000000000 25.5637561555
-1.8000000000 21.4237917486
-1.6000000000 17.6433406364
-1.4000000000 14.2241661795
-1.2000000000 11.1680317379
-1.0000000000 8.4767006722
-0.8000000000 6.1519363425
-0.6000000000 4.1955021093
-0.4000000000 2.6091613327
-0.2000000000 1.3946773732
0.0000000000 0.5538135910
0.2000000000 0.0883333465
0.4000000000 0.0000000000
0.6000000000 0.2905769117
0.8000000000 0.9618274421
1.0000000000 2.0155149514
1.2000000000 3.4534027999
1.4000000000 5.2772543479
1.6000000000 7.4888329558
1.8000000000 10.0899019838
2.0000000000 13.0822247924
2.2000000000 16.4675647417
2.4000000000 20.2476851922
2.6000000000 24.4243495041
2.8000000000 28.9993210377
3.0000000000 33.9743631534
3.2000000000 39.3512392114
3.4000000000 45.1317125722
3.6000000000 51.3175465959
3.8000000000 57.9105046429
4.0000000000 64.9123500736
4.2000000000 72.3248462482
4.4000000000 80.1497565270
4.6000000000 88.3888442705
4.8000000000 97.0438728388
5.0000000000 106.1166055923
5.2000000000 115.6088058913
5.4000000000 125.5222370961
5.6000000000 135.8586625670
5.8000000000 146.6198456645
6.0000000000 157.8075497486
6.2000000000 169.4235381799
6.4000000000 181.4695743185
6.6000000000 193.9474215249
6.8000000000 206.8588431593
7.0000000000 220.2056025820
7.2000000000 233.9894631533
7.4000000000 248.2121882336
7.6000000000 262.8755411832
7.8000000000 277.9812853624
8.0000000000 293.5311841315
8.2000000000 309.5270008508
8.4000000000 325.9704988807
8.6000000000 342.8634415814
8.8000000000 360.2075923132
9.0000000000 378.0047144365
9.2000000000 396.2565713117
9.4000000000 414.9649262989
9.6000000000 434.1315427585
9.8000000000 453.7581840509
10.0000000000 473.8466135363
