# x	V
-10.0000000000 28912.0524942263
-9.8000000000 26632.7156591989
-9.6000000000 24490.5031335586
-9.4000000000 22479.8165719555
-9.2000000000 20595.1740460960
-9.0000000000 18831.2100447427
-8.8000000000 17182.6754737148
-8.6000000000 15644.4376558874
-8.4000000000 14211.4803311922
-8.2000000000 12878.9036566170
-8.0000000000 11641.9242062062
-7.8000000000 10495.8749710602
-7.6000000000 9436.2053593357
-7.4000000000 8458.4811962461
-7.2000000000 7558.3847240606
-7.0000000000 6731.7146021051
-6.8000000000 5974.3859067615
-6.6000000000 5282.4301314682
-6.4000000000 4651.9951867199
-6.2000000000 4079.3454000675
-6.0000000000 3560.8615161183
-5.8000000000 3093.0406965358
-5.6000000000 2672.4965200399
-5.4000000000 2295.9589824068
-5.2000000000 1960.2744964690
-5.0000000000 1662.4058921152
-4.8000000000 1399.4324162906
-4.6000000000 1168.5497329965
-4.4000000000 967.0699232907
-4.2000000000 792.4214852871
-4.0000000000 642.1493341560
-3.8000000000 513.9148021241
-3.6000000000 405.4956384743
-3.4000000000 314.7860095459
-3.2000000000 239.7964987342
-3.0000000000 178.6541064912
-2.8000000000 129.6022503251
-2.6000000000 91.0007648002
-2.4000000000 61.3259015373
-2.2000000000 39.1703292134
-2.0000000000 23.2431335620
-1.8000000000 12.3698173726
-1.6000000000 5.4923004913
-1.4000000000 1.6689198204
-1.2000000000 0.0744293183
-1.0000000000 0.0000000000
-0.8000000000 0.8532199367
-0.6000000000 2.1580942558
-0.4000000000 3.5550451412
-0.2000000000 4.8009118330
0.0000000000 5.7689506275
0.2000000000 6.4488348775
0.4000000000 6.9466549921
0.6000000000 7.4849184364
0.8000000000 8.4025497322
1.0000000000 10.1548904574
1.2000000000 13.3136992462
1.4000000000 18.5671517891
1.6000000000 26.7198408331
1.8000000000 38.6927761812
2.0000000000 55.5233846929
2.2000000000 78.3655102840
2.4000000000 108.4894139266
2.6000000000 147.2817736490
2.8000000000 196.2456845358
3.0000000000 257.0006587281
3.2000000000 331.2826254232
3.4000000000 420.9439308746
3.6000000000 527.9533383923
3.8000000000 654.3960283424
4.0000000000 802.4735981475
4.2000000000 974.5040622863
4.4000000000 1172.9218522940
4.6000000000 1400.2778167619
4.8000000000 1659.2392213379
5.0000000000 1952.5897487260
5.2000000000 2283.2294986864
5.4000000000 2654.1749880358
5.6000000000 3068.5591506472
5.8000000000 3529.6313374499
6.0000000000 4040.7573164292
6.2000000000 4605.4192726273
6.4000000000 5227.2158081421
6.6000000000 5909.8619421282
6.8000000000 6657.1891107963
7.0000000000 7473.1451674135
7.2000000000 8361.7943823032
7.4000000000 9327.3174428451
7.6000000000 10374.0114534752
7.8000000000 11506.2899356857
8.0000000000 12728.6828280254
8.2000000000 14045.8364860990
8.4000000000 15462.5136825678
8.6000000000 16983.5936071494
8.8000000000 18614.0718666175
9.0000000000 20359.0604848022
9.2000000000 22223.7879025901
9.4000000000 24213.5989779238
9.6000000000 26333.9549858024
9.8000000000 28590.4336182812
10.0000000000 30988.7289844718
