# x	V
-10.0000000000 45438.5198725333
-9.8000000000 41879.2296293255
-9.6000000000 38532.9782501027
-9.4000000000 35391.1015315684
-9.2000000000 32445.1149205971
-9.0000000000 29686.7135142340
-8.8000000000 27107.7720596952
-8.6000000000 24700.3449543676
-8.4000000000 22456.6662458091
-8.2000000000 20369.1496317483
-8.0000000000 18430.3884600849
-7.8000000000 16633.1557288890
-7.6000000000 14970.4040864020
-7.4000000000 13435.2658310359
-7.2000000000 12021.0529113737
-7.0000000000 10721.2569261692
-6.8000000000 9529.5491243469
-6.6000000000 8439.7804050025
-6.4000000000 7445.9813174022
-6.2000000000 6542.3620609832
-6.0000000000 5723.3124853536
-5.8000000000 4983.4020902924
-5.6000000000 4317.3800257492
-5.4000000000 3720.1750918446
-5.2000000000 3186.8957388703
-5.0000000000 2712.8300672884
-4.8000000000 2293.4458277322
-4.6000000000 1924.3904210057
-4.4000000000 1601.4908980838
-4.2000000000 1320.7539601121
-4.0000000000 1078.3659584074
-3.8000000000 870.6928944571
-3.6000000000 694.2804199194
-3.4000000000 545.8538366235
-3.2000000000 422.3180965694
-3.0000000000 320.7578019280
-2.8000000000 238.4372050410
-2.6000000000 172.8002084209
-2.4000000000 121.4703647512
-2.2000000000 82.2508768862
-2.0000000000 53.1245978510
-1.8000000000 32.2540308415
-1.6000000000 17.9813292247
-1.4000000000 8.8282965381
-1.2000000000 3.4963864904
-1.0000000000 0.8667029610
-0.8000000000 0.0000000000
-0.6000000000 0.1366818286
-0.4000000000 0.6968028388
-0.2000000000 1.2800675934
0.0000000000 1.6658308259
0.2000000000 1.8130974411
0.4000000000 1.8605225141
0.6000000000 2.1264112914
0.8000000000 3.1087191898
1.0000000000 5.4850517975
1.2000000000 10.1126648731
1.4000000000 18.0284643463
1.6000000000 30.4490063176
1.8000000000 48.7704970583
2.0000000000 74.5687930107
2.2000000000 109.5994007879
2.4000000000 155.7974771736
2.6000000000 215.2778291227
2.8000000000 290.3349137608
3.0000000000 383.4428383844
3.2000000000 497.2553604608
3.4000000000 634.6058876282
3.6000000000 798.5074776956
3.8000000000 992.1528386429
4.0000000000 1218.9143286208
4.2000000000 1482.3439559510
4.4000000000 1786.1733791258
4.6000000000 2134.3139068086
4.8000000000 2530.8564978336
5.0000000000 2980.0717612057
5.2000000000 3486.4099561008
5.4000000000 4054.5009918656
5.6000000000 4689.1544280177
5.8000000000 5395.3594742456
6.0000000000 6178.2849904084
6.2000000000 7043.2794865364
6.4000000000 7995.8711228304
6.6000000000 9041.7677096624
6.8000000000 10186.8567075751
7.0000000000 11437.2052272819
7.2000000000 12799.0600296673
7.4000000000 14278.8475257866
7.6000000000 15883.1737768658
7.8000000000 17618.8244943019
8.0000000000 19492.7650396627
8.2000000000 21512.1404246869
8.4000000000 23684.2753112841
8.6000000000 26016.6740115345
8.8000000000 28517.0204876894
9.0000000000 31193.1783521708
9.2000000000 34053.1908675719
9.4000000000 37105.2809466562
9.6000000000 40357.8511523585
9.8000000000 43819.4836977843
10.0000000000 47498.9404462099
