# x	V
-10.0000000000 12903.4277024128
-9.8000000000 11880.6760937048
-9.6000000000 10919.7148753175
-9.4000000000 10018.0152076463
-9.2000000000 9173.1008332293
-9.0000000000 8382.5480767470
-8.8000000000 7643.9858450224
-8.6000000000 6955.0956270210
-8.4000000000 6313.6114938511
-8.2000000000 5717.3200987632
-8.0000000000 5164.0606771505
-7.8000000000 4651.7250465487
-7.6000000000 4178.2576066360
-7.4000000000 3741.6553392331
-7.2000000000 3339.9678083033
-7.0000000000 2971.2971599525
-6.8000000000 2633.7981224289
-6.6000000000 2325.6780061234
-6.4000000000 2045.1967035694
-6.2000000000 1790.6666894428
-6.0000000000 1560.4530205620
-5.8000000000 1352.9733358880
-5.6000000000 1166.6978565243
-5.4000000000 1000.1493857170
-5.2000000000 851.9033088545
-5.0000000000 720.5875934680
-4.8000000000 604.8827892310
-4.6000000000 503.5220279597
-4.4000000000 415.2910236128
-4.2000000000 339.0280722914
-4.0000000000 273.6240522393
-3.8000000000 218.0224238427
-3.6000000000 171.2192296305
-3.4000000000 132.2630942737
-3.2000000000 100.2552245865
-3.0000000000 74.3494095250
-2.8000000000 53.7520201881
-2.6000000000 37.7220098174
-2.4000000000 25.5709137966
-2.2000000000 16.6628496524
-2.0000000000 10.4145170536
-1.8000000000 6.2951978119
-1.6000000000 3.8267558812
-1.4000000000 2.5836373582
-1.2000000000 2.1928704819
-1.0000000000 2.3340656340
-0.8000000000 2.7394153387
-0.6000000000 3.1936942626
-0.4000000000 3.5342592150
-0.2000000000 3.6510491477
0.0000000000 3.4865851548
0.2000000000 3.0359704732
0.4000000000 2.3468904823
0.6000000000 1.5196127038
0.8000000000 0.7069868023
1.0000000000 0.1144445845
1.2000000000 0.0000000000
1.4000000000 0.6742491407
1.6000000000 2.5003702411
1.8000000000 5.8941236783
2.0000000000 11.3238519717
2.2000000000 19.3104797835
2.4000000000 30.4275139184
2.6000000000 45.3010433233
2.8000000000 64.6097390881
3.0000000000 89.0848544448
3.2000000000 119.5102247683
3.4000000000 156.7222675757
3.6000000000 201.6099825269
3.8000000000 255.1149514241
4.0000000000 318.2313382122
4.2000000000 392.0058889785
4.4000000000 477.5379319530
4.6000000000 575.9793775080
4.8000000000 688.5347181586
5.0000000000 816.4610285621
5.2000000000 961.0679655186
5.4000000000 1123.7177679706
5.6000000000 1305.8252570032
5.8000000000 1508.8578358439
6.0000000000 1734.3354898629
6.2000000000 1983.8307865727
6.4000000000 2258.9688756287
6.6000000000 2561.4274888284
6.8000000000 2892.9369401121
7.0000000000 3255.2801255626
7.2000000000 3650.2925234051
7.4000000000 4079.8621940074
7.6000000000 4545.9297798799
7.8000000000 5050.4885056754
8.0000000000 5595.5841781894
8.2000000000 6183.3151863597
8.4000000000 6815.8325012668
8.6000000000 7495.3396761337
8.8000000000 8224.0928463258
9.0000000000 9004.4007293513
9.2000000000 9838.6246248606
9.4000000000 10729.1784146469
9.6000000000 11678.5285626457
9.8000000000 12689.1941149353
10.0000000000 13763.7466997362
