# x	V
-10.0000000000 295.7165729299
-9.8000000000 284.2407457976
-9.6000000000 272.9879813635
-9.4000000000 261.9585267186
-9.2000000000 251.1526289539
-9.0000000000 240.5705351605
-8.8000000000 230.2124924295
-8.6000000000 220.0787478517
-8.4000000000 210.1695485183
-8.2000000000 200.4851415202
-8.0000000000 191.0257739486
-7.8000000000 181.7916928944
-7.6000000000 172.7831454486
-7.4000000000 164.0003787023
-7.2000000000 155.4436397465
-7.0000000000 147.1131756723
-6.8000000000 139.0092335706
-6.6000000000 131.1320605325
-6.4000000000 123.4819036490
-6.2000000000 116.0590100112
-6.0000000000 108.8636267100
-5.8000000000 101.8960008365
-5.6000000000 95.1563794817
-5.4000000000 88.6450097367
-5.2000000000 82.3621386924
-5.0000000000 76.3080134400
-4.8000000000 70.4828810703
-4.6000000000 64.8869886745
-4.4000000000 59.5205833436
-4.2000000000 54.3839121686
-4.0000000000 49.4772222406
-3.8000000000 44.8007606504
-3.6000000000 40.3547744893
-3.4000000000 36.1395108482
-3.2000000000 32.1552168181
-3.0000000000 28.4021394901
-2.8000000000 24.8805259551
-2.6000000000 21.5906233043
-2.4000000000 18.5326786287
-2.2000000000 15.7069390192
-2.0000000000 13.1136515669
-1.8000000000 10.7530633628
-1.6000000000 8.6254214979
-1.4000000000 6.7309730634
-1.2000000000 5.0699651501
-1.0000000000 3.6426448492
-0.8000000000 2.4492592516
-0.6000000000 1.4900554484
-0.4000000000 0.7652805306
-0.2000000000 0.2751815893
0.0000000000 0.0200057154
0.2000000000 0.0000000000
0.4000000000 0.2154115341
0.6000000000 0.6664874088
0.8000000000 1.3534747150
1.0000000000 2.2766205438
1.2000000000 3.4361719862
1.4000000000 4.8323761333
1.6000000000 6.4654800761
1.8000000000 8.3357309055
2.0000000000 10.4433757127
2.2000000000 12.7886615887
2.4000000000 15.3718356244
2.6000000000 18.1931449109
2.8000000000 21.2528365393
3.0000000000 24.5511576005
3.2000000000 28.0883551856
3.4000000000 31.8646763856
3.6000000000 35.8803682916
3.8000000000 40.1356779945
4.0000000000 44.6308525854
4.2000000000 49.3661391553
4.4000000000 54.3417847953
4.6000000000 59.5580365963
4.8000000000 65.0151416495
5.0000000000 70.7133470457
5.2000000000 76.6528998762
5.4000000000 82.8340472318
5.6000000000 89.2570362036
5.8000000000 95.9221138826
6.0000000000 102.8295273599
6.2000000000 109.9795237264
6.4000000000 117.3723500733
6.6000000000 125.0082534915
6.8000000000 132.8874810721
7.0000000000 141.0102799061
7.2000000000 149.3768970845
7.4000000000 157.9875796983
7.6000000000 166.8425748386
7.8000000000 175.9421295964
8.0000000000 185.2864910627
8.2000000000 194.8759063286
8.4000000000 204.7106224851
8.6000000000 214.7908866231
8.8000000000 225.1169458338
9.0000000000 235.6890472081
9.2000000000 246.5074378371
9.4000000000 257.5723648119
9.6000000000 268.8840752233
9.8000000000 280.4428161625
10.0000000000 292.2488347205
