# x	V
-10.0000000000 494.2370343079
-9.8000000000 475.4884387808
-9.6000000000 457.0847122965
-9.4000000000 439.0269224810
-9.2000000000 421.3161369599
-9.0000000000 403.9534233592
-8.8000000000 386.9398493047
-8.6000000000 370.2764824222
-8.4000000000 353.9643903375
-8.2000000000 338.0046406765
-8.0000000000 322.3983010650
-7.8000000000 307.1464391288
-7.6000000000 292.2501224938
-7.4000000000 277.7104187858
-7.2000000000 263.5283956306
-7.0000000000 249.7051206541
-6.8000000000 236.2416614821
-6.6000000000 223.1390857404
-6.4000000000 210.3984610548
-6.2000000000 198.0208550513
-6.0000000000 186.0073353555
-5.8000000000 174.3589695934
-5.6000000000 163.0768253908
-5.4000000000 152.1619703734
-5.2000000000 141.6154721673
-5.0000000000 131.4383983981
-4.8000000000 121.6318166917
-4.6000000000 112.1967946739
-4.4000000000 103.1343999706
-4.2000000000 94.4457002076
-4.0000000000 86.1317630107
-3.8000000000 78.1936560058
-3.6000000000 70.6324468187
-3.4000000000 63.4492030752
-3.2000000000 56.6449924012
-3.0000000000 50.2208824225
-2.8000000000 44.1779407648
-2.6000000000 38.5172350541
-2.4000000000 33.2398329163
-2.2000000000 28.3468019770
-2.0000000000 23.8392098621
-1.8000000000 19.7181241976
-1.6000000000 15.9846126091
-1.4000000000 12.6397427226
-1.2000000000 9.6845821638
-1.0000000000 7.1201985587
-0.8000000000 4.9476595330
-0.6000000000 3.1680327125
-0.4000000000 1.7823857232
-0.2000000000 0.7917861908
0.0000000000 0.1973017411
0.2000000000 0.0000000000
0.4000000000 0.2009485933
0.6000000000 0.8012151469
0.8000000000 1.8018672866
1.0000000000 3.2039726382
1.2000000000 5.0085988275
1.4000000000 7.2168134805
1.6000000000 9.8296842228
1.8000000000 12.8482786803
2.0000000000 16.2736644790
2.2000000000 20.1069092445
2.4000000000 24.3490806028
2.6000000000 29.0012461796
2.8000000000 34.0644736009
3.0000000000 39.5398304924
3.2000000000 45.4283844799
3.4000000000 51.7312031893
3.6000000000 58.4493542464
3.8000000000 65.5839052771
4.0000000000 73.1359239072
4.2000000000 81.1064777625
4.4000000000 89.4966344689
4.6000000000 98.3074616521
4.8000000000 107.5400269381
5.0000000000 117.1953979526
5.2000000000 127.2746423214
5.4000000000 137.7788276705
5.6000000000 148.7090216256
5.8000000000 160.0662918126
6.0000000000 171.8517058572
6.2000000000 184.0663313854
6.4000000000 196.7112360230
6.6000000000 209.7874873958
6.8000000000 223.2961531296
7.0000000000 237.2383008502
7.2000000000 251.6149981835
7.4000000000 266.4273127554
7.6000000000 281.6763121916
7.8000000000 297.3630641180
8.0000000000 313.4886361604
8.2000000000 330.0540959446
8.4000000000 347.0605110966
8.6000000000 364.5089492420
8.8000000000 382.4004780068
9.0000000000 400.7361650167
9.2000000000 419.5170778976
9.4000000000 438.7442842754
9.6000000000 458.4188517759
9.8000000000 478.5418480248
10.0000000000 499.1143406481
