# x	V
-10.0000000000 372.6543662976
-9.8000000000 357.7531170844
-9.6000000000 343.1558744788
-9.4000000000 328.8626384809
-9.2000000000 314.8734090906
-9.0000000000 301.1881863079
-8.8000000000 287.8069701329
-8.6000000000 274.7297605656
-8.4000000000 261.9565576059
-8.2000000000 249.4873612538
-8.0000000000 237.3221715094
-7.8000000000 225.4609883726
-7.6000000000 213.9038118434
-7.4000000000 202.6506419219
-7.2000000000 191.7014786081
-7.0000000000 181.0563219019
-6.8000000000 170.7151718033
-6.6000000000 160.6780283124
-6.4000000000 150.9448914291
-6.2000000000 141.5157611535
-6.0000000000 132.3906374855
-5.8000000000 123.5695204251
-5.6000000000 115.0524099724
-5.4000000000 106.8393061274
-5.2000000000 98.9302088899
-5.0000000000 91.3251182602
-4.8000000000 84.0240342380
-4.6000000000 77.0269568236
-4.4000000000 70.3338860167
-4.2000000000 63.9448218175
-4.0000000000 57.8597642260
-3.8000000000 52.0787132420
-3.6000000000 46.6016688658
-3.4000000000 41.4286310971
-3.2000000000 36.5595999362
-3.0000000000 31.9945753828
-2.8000000000 27.7335574371
-2.6000000000 23.7765460991
-2.4000000000 20.1235413687
-2.2000000000 16.7745432459
-2.0000000000 13.7295517308
-1.8000000000 10.9885668233
-1.6000000000 8.5515885235
-1.4000000000 6.4186168313
-1.2000000000 4.5896517468
-1.0000000000 3.0646932699
-0.8000000000 1.8437414006
-0.6000000000 0.9267961390
-0.4000000000 0.3138574850
-0.2000000000 0.0049254387
0.0000000000 0.0000000000
0.2000000000 0.2990811690
0.4000000000 0.9021689456
0.6000000000 1.8092633298
0.8000000000 3.0203643217
1.0000000000 4.5354719212
1.2000000000 6.3545861284
1.4000000000 8.4777069432
1.6000000000 10.9048343657
1.8000000000 13.6359683958
2.0000000000 16.6711090336
2.2000000000 20.0102562790
2.4000000000 23.6534101320
2.6000000000 27.6005705927
2.8000000000 31.8517376610
3.0000000000 36.4069113370
3.2000000000 41.2660916206
3.4000000000 46.4292785119
3.6000000000 51.8964720108
3.8000000000 57.6676721173
4.0000000000 63.7428788315
4.2000000000 70.1220921533
4.4000000000 76.8053120828
4.6000000000 83.7925386199
4.8000000000 91.0837717647
5.0000000000 98.6790115171
5.2000000000 106.5782578772
5.4000000000 114.7815108449
5.6000000000 123.2887704202
5.8000000000 132.1000366032
6.0000000000 141.2153093938
6.2000000000 150.6345887921
6.4000000000 160.3578747980
6.6000000000 170.3851674115
6.8000000000 180.7164666327
7.0000000000 191.3517724616
7.2000000000 202.2910848981
7.4000000000 213.5344039422
7.6000000000 225.0817295940
7.8000000000 236.9330618534
8.0000000000 249.0884007205
8.2000000000 261.5477461952
8.4000000000 274.3110982775
8.6000000000 287.3784569675
8.8000000000 300.7498222652
9.0000000000 314.4251941704
9.2000000000 328.4045726834
9.4000000000 342.6879578039
9.6000000000 357.2753495321
9.8000000000 372.1667478680
10.0000000000 387.3621528115
