# x	V
-10.0000000000 35027.8716285490
-9.8000000000 32310.1567666599
-9.6000000000 29753.8532259709
-9.4000000000 27352.4342977508
-9.2000000000 25099.5081094570
-9.0000000000 22988.8176247361
-8.8000000000 21014.2406434234
-8.6000000000 19169.7898015435
-8.4000000000 17449.6125713095
-8.2000000000 15847.9912611239
-8.0000000000 14359.3430155780
-7.8000000000 12978.2198154518
-7.6000000000 11699.3084777147
-7.4000000000 10517.4306555246
-7.2000000000 9427.5428382288
-7.0000000000 8424.7363513633
-6.8000000000 7504.2373566530
-6.6000000000 6661.4068520119
-6.4000000000 5891.7406715429
-6.2000000000 5190.8694855379
-6.0000000000 4554.5588004777
-5.8000000000 3978.7089590321
-5.6000000000 3459.3551400598
-5.4000000000 2992.6673586085
-5.2000000000 2574.9504659149
-5.0000000000 2202.6441494044
-4.8000000000 1872.3229326918
-4.6000000000 1580.6961755805
-4.4000000000 1324.6080740629
-4.2000000000 1101.0376603205
-4.0000000000 907.0988027237
-3.8000000000 740.0402058318
-3.6000000000 597.2454103930
-3.4000000000 476.2327933447
-3.2000000000 374.6555678130
-3.0000000000 290.3017831131
-2.8000000000 221.0943247490
-2.6000000000 165.0909144139
-2.4000000000 120.4841099898
-2.2000000000 85.6013055476
-2.0000000000 58.9047313473
-1.8000000000 38.9914538378
-1.6000000000 24.5933756569
-1.4000000000 14.5772356314
-1.2000000000 7.9446087771
-1.0000000000 3.8319062986
-0.8000000000 1.5103755897
-0.6000000000 0.3861002330
-0.4000000000 0.0000000000
-0.2000000000 0.0278308513
0.0000000000 0.2801849363
0.2000000000 0.7024905936
0.4000000000 1.3750123504
0.6000000000 2.5128509232
0.8000000000 4.4659432173
1.0000000000 7.7190623269
1.2000000000 12.8918175353
1.4000000000 20.7386543146
1.6000000000 32.1488543260
1.8000000000 48.1465354196
2.0000000000 69.8906516343
2.2000000000 98.6749931983
2.4000000000 135.9281865284
2.6000000000 183.2136942306
2.8000000000 242.2298150998
3.0000000000 314.8096841197
3.2000000000 402.9212724631
3.4000000000 508.6673874919
3.6000000000 634.2856727565
3.8000000000 782.1486079968
4.0000000000 954.7635091413
4.2000000000 1154.7725283076
4.4000000000 1384.9526538022
4.6000000000 1648.2157101204
4.8000000000 1947.6083579469
5.0000000000 2286.3120941549
5.2000000000 2667.6432518068
5.4000000000 3095.0530001539
5.6000000000 3572.1273446363
5.8000000000 4102.5871268834
6.0000000000 4690.2880247133
6.2000000000 5339.2205521331
6.4000000000 6053.5100593388
6.6000000000 6837.4167327155
6.8000000000 7695.3355948371
7.0000000000 8631.7965044667
7.2000000000 9651.4641565560
7.4000000000 10759.1380822460
7.6000000000 11959.7526488663
7.8000000000 13258.3770599359
8.0000000000 14660.2153551624
8.2000000000 16170.6064104424
8.4000000000 17795.0239378617
8.6000000000 19539.0764856947
8.8000000000 21408.5074384050
9.0000000000 23409.1950166452
9.2000000000 25547.1522772566
9.4000000000 27828.5271132696
9.6000000000 30259.6022539036
9.8000000000 32846.7952645670
10.0000000000 35596.6585468569
