# x	V
-10.0000000000 467.4367378824
-9.8000000000 449.8811806250
-9.6000000000 432.6387582333
-9.4000000000 415.7108464445
-9.2000000000 399.0988209958
-9.0000000000 382.8040576246
-8.8000000000 366.8279320681
-8.6000000000 351.1718200635
-8.4000000000 335.8370973482
-8.2000000000 320.8251396594
-8.0000000000 306.1373227344
-7.8000000000 291.7750223103
-7.6000000000 277.7396141246
-7.4000000000 264.0324739144
-7.2000000000 250.6549774171
-7.0000000000 237.6085003698
-6.8000000000 224.8944185099
-6.6000000000 212.5141075747
-6.4000000000 200.4689433013
-6.2000000000 188.7603014270
-6.0000000000 177.3895576892
-5.8000000000 166.3580878251
-5.6000000000 155.6672675719
-5.4000000000 145.3184726669
-5.2000000000 135.3130788474
-5.0000000000 125.6524618507
-4.8000000000 116.3379974139
-4.6000000000 107.3710612745
-4.4000000000 98.7530291696
-4.2000000000 90.4852768364
-4.0000000000 82.5691800124
-3.8000000000 75.0061144347
-3.6000000000 67.7974558406
-3.4000000000 60.9445799673
-3.2000000000 54.4488625522
-3.0000000000 48.3116793325
-2.8000000000 42.5344060455
-2.6000000000 37.1184184284
-2.4000000000 32.0650922185
-2.2000000000 27.3758031530
-2.0000000000 23.0519269693
-1.8000000000 19.0948394045
-1.6000000000 15.5059161960
-1.4000000000 12.2865330811
-1.2000000000 9.4380657969
-1.0000000000 6.9618900808
-0.8000000000 4.8593816700
-0.6000000000 3.1319163018
-0.4000000000 1.7808697134
-0.2000000000 0.8076176421
0.0000000000 0.2135358252
0.2000000000 0.0000000000
0.4000000000 0.1683859037
0.6000000000 0.7200692735
0.8000000000 1.6564258468
1.0000000000 2.9788313608
1.2000000000 4.6886615528
1.4000000000 6.7872921600
1.6000000000 9.2760989197
1.8000000000 12.1564575692
2.0000000000 15.4297438457
2.2000000000 19.0973334865
2.4000000000 23.1606022289
2.6000000000 27.6209258101
2.8000000000 32.4796799674
3.0000000000 37.7382404380
3.2000000000 43.3979829593
3.4000000000 49.4602832685
3.6000000000 55.9265171028
3.8000000000 62.7980601996
4.0000000000 70.0762882960
4.2000000000 77.7625771294
4.4000000000 85.8583024370
4.6000000000 94.3648399561
4.8000000000 103.2835654240
5.0000000000 112.6158545778
5.2000000000 122.3630831550
5.4000000000 132.5266268927
5.6000000000 143.1078615281
5.8000000000 154.1081627987
6.0000000000 165.5289064416
6.2000000000 177.3714681941
6.4000000000 189.6372237935
6.6000000000 202.3275489771
6.8000000000 215.4438194820
7.0000000000 228.9874110456
7.2000000000 242.9596994051
7.4000000000 257.3620602979
7.6000000000 272.1958694611
7.8000000000 287.4625026320
8.0000000000 303.1633355479
8.2000000000 319.2997439461
8.4000000000 335.8731035638
8.6000000000 352.8847901383
8.8000000000 370.3361794068
9.0000000000 388.2286471067
9.2000000000 406.5635689752
9.4000000000 425.3423207495
9.6000000000 444.5662781669
9.8000000000 464.2368169648
10.0000000000 484.3553128802
